campeonato,team_name,name,position,country,valor_mercado_mais_recente(R$),height,age,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goals,minutesPlayed,rating,touches,possessionLostCtrl,expectedGoals,expectedAssists,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,totalCross,accurateCross,outfielderBlock,goodHighClaim,savedShotsFromInsideTheBox,saves,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,penaltyWon,totalOffside,goalsPrevented,penaltyConceded,score_total,score_normalizado
Brasileirão Série A,Vitória,Alerrandro,F,Brazil,"R$ 19.170.000,00",176.0,24.0,12.928571428571429,9.357142857142858,1.1666666666666667,1.1666666666666667,0.20833333333333334,1.1666666666666667,1801.0,7.0,22.178571428571427,6.615384615384615,0.30445500000000003,0.0479973945,2.909090909090909,2.0625,4.607142857142857,3.6923076923076925,1.2666666666666666,1.3636363636363635,1.2142857142857142,2.2222222222222223,1.4375,1.25,0.0,1.0,0.0,0.0,0.0,1.1818181818181819,1.0714285714285714,1.1666666666666667,1.0,1.2307692307692308,1.3333333333333333,1.2222222222222223,1.5714285714285714,1.2727272727272727,1.0,0.0,1.0,0.0,1.0,0.29118537625823243,65.92078382757754
Brasileirão Série B,CRB,Anselmo Ramon,F,Brazil,"R$ 958.500,00",182.0,36.0,21.53125,15.96875,2.7096774193548385,2.0,0.03571428571428571,1.0,2488.0,6.978125,30.8125,9.15625,0.0,0.0,1.826086956521739,1.75,3.6129032258064515,3.1379310344827585,1.2142857142857142,1.4166666666666667,1.2857142857142858,1.875,1.3157894736842106,1.7142857142857142,1.2,1.0,0.0,0.0,0.0,1.1111111111111112,1.4666666666666666,1.0,1.0,1.3157894736842106,1.0,1.619047619047619,1.5,1.0,1.0,0.0,1.1428571428571428,0.0,0.0,-0.407594015801303,18.69137655425801
Brasileirão Série B,Ceará,Aylon,F,Brazil,"R$ 2.236.500,00",180.0,32.0,16.903225806451612,12.774193548387096,1.5263157894736843,1.1666666666666667,0.07692307692307693,1.125,2203.0,7.041935483870968,28.06451612903226,7.870967741935484,0.0,0.0,3.037037037037037,1.6363636363636365,5.67741935483871,3.8620689655172415,1.55,1.0,2.0,1.631578947368421,1.7727272727272727,1.6,1.0,1.0,0.0,0.0,0.0,1.3846153846153846,1.5,1.125,1.0,1.6153846153846154,1.2307692307692308,1.4,1.2777777777777777,1.1818181818181819,1.0,0.0,1.0,0.0,0.0,-0.10634659402161951,39.05221909618854
Brasileirão Série B,Guarani,Caio Dantas,F,Brazil,"R$ 1.917.000,00",177.0,31.0,11.88888888888889,8.851851851851851,1.3846153846153846,1.0,0.08333333333333333,1.375,2095.0,6.988888888888888,23.962962962962962,8.72,0.0,0.0,3.217391304347826,1.5625,5.666666666666667,4.166666666666667,1.3846153846153846,1.375,1.125,2.5714285714285716,1.7272727272727273,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.3,1.4444444444444444,1.3333333333333333,1.4166666666666667,1.125,1.588235294117647,2.0,1.3,0.0,1.0,1.0,0.0,0.0,-0.23495293393696848,30.359917527461842
Brasileirão Série A,Cuiabá,Clayson,F,Brazil,"R$ 6.390.000,00",166.0,29.0,18.8,15.541666666666666,2.0555555555555554,1.6428571428571428,0.0,1.3333333333333333,1467.0,6.76,32.04,10.2,0.13464285714285715,0.08009651722222222,1.0,1.0,3.96,2.375,1.5,1.8333333333333333,1.125,1.7222222222222223,1.2307692307692308,3.142857142857143,1.2857142857142858,1.0,0.0,0.0,0.0,1.4705882352941178,2.526315789473684,1.5,1.0,1.1428571428571428,1.1666666666666667,1.3333333333333333,1.2857142857142858,1.7142857142857142,1.0,1.0,1.0,0.0,0.0,0.05309539947996814,49.82865431040113
Brasileirão Série B,Mirassol,Dellatorre,F,Brazil,"R$ 2.875.500,00",186.0,32.0,12.0,8.481481481481481,1.5333333333333334,1.3333333333333333,0.08695652173913043,1.0,2074.0,6.948148148148148,19.88888888888889,6.185185185185185,0.0,0.0,2.2222222222222223,1.3571428571428572,3.12,2.5,1.5263157894736843,1.3333333333333333,1.2,1.3157894736842106,1.625,1.4,1.0,1.0,0.0,0.0,0.0,1.0,1.75,1.2857142857142858,1.1666666666666667,1.4444444444444444,1.0,1.125,1.3333333333333333,1.0,0.0,0.0,1.5333333333333334,0.0,0.0,-0.4149550626547284,18.193854898998897
Brasileirão Série B,Botafogo-SP,Douglas Baggio,F,Brazil,"R$ 4.792.500,00",172.0,29.0,21.2,16.766666666666666,1.6111111111111112,1.2857142857142858,0.1111111111111111,1.0,2334.0,7.013333333333334,40.733333333333334,13.5,0.0,0.0,1.8,1.4166666666666667,5.9655172413793105,5.758620689655173,1.3636363636363635,1.5,1.3157894736842106,3.689655172413793,1.7826086956521738,5.7,1.9523809523809523,1.0,0.0,0.0,0.0,1.4545454545454546,2.3333333333333335,1.5,1.0,1.4285714285714286,1.0,2.1904761904761907,1.8,1.3571428571428572,1.3333333333333333,0.0,1.0,0.0,0.0,-0.11569863973735815,38.420128938741975
Brasileirão Série A,Red Bull Bragantino,Eduardo Sasha,F,Brazil,"R$ 11.502.000,00",173.0,32.0,17.714285714285715,12.19047619047619,1.625,1.3333333333333333,0.25,1.0,1516.0,6.9714285714285715,27.571428571428573,8.904761904761905,0.21515,0.09079314894736842,4.05,2.6,6.3,4.380952380952381,1.5,1.1,1.0,1.9230769230769231,1.6,1.375,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.4285714285714286,1.25,1.4,1.3333333333333333,1.8,1.5,1.0,1.5,0.0,1.0,0.0,0.0,0.060566682900173294,50.33362668296533
Brasileirão Série B,Ponte Preta,Elvis,F,Brazil,"R$ 2.236.500,00",172.0,34.0,34.5,26.73076923076923,4.8,3.5416666666666665,0.16666666666666666,1.0,1941.0,7.176923076923076,46.53846153846154,14.038461538461538,0.0,0.0,1.4444444444444444,1.0,2.6956521739130435,2.3,1.4,1.0,1.8333333333333333,1.6153846153846154,1.5263157894736843,6.28,2.1363636363636362,0.0,0.0,0.0,0.0,2.0,1.5,1.1428571428571428,2.0,1.5,1.0,3.0434782608695654,1.3636363636363635,1.0,1.0,0.0,0.0,0.0,0.0,-0.09900343013291037,39.54853206980444
Brasileirão Série A,Juventude,Erick Farias,F,Brazil,"R$ 8.307.000,00",172.0,27.0,15.181818181818182,11.969696969696969,1.3157894736842106,1.1538461538461537,0.1,1.0,2219.0,6.787878787878788,24.333333333333332,6.40625,0.19574117647058822,0.09174069625,1.875,1.3125,3.4827586206896552,2.6875,1.3076923076923077,1.3333333333333333,1.5294117647058822,1.1538461538461537,1.4166666666666667,1.5714285714285714,1.0,1.0,0.0,0.0,0.0,1.2,1.8636363636363635,1.7142857142857142,1.0,1.0,1.25,1.3333333333333333,1.8571428571428572,1.2,1.0,0.0,1.2,0.0,0.0,-0.1337197769198117,37.20210843443102
