name,team_name,score_normalizado,valor_mercado_mais_recente(R$),goals,expectedGoals,onTargetScoringAttempt,bigChanceCreated,expectedAssists,goalAssist,keyPass,accuratePass,rating,penaltyWon,wasFouled,duelWon,aerialWon,accurateCross,accurateLongBalls,blockedScoringAttempt,height,age,possessionLostCtrl,dispossessed,bigChanceMissed,duelLost,fouls,challengeLost,totalOffside,saves,savedShotsFromInsideTheBox,goodHighClaim,goalsPrevented,penaltyConceded,campeonato,position,country,totalPass,totalLongBalls,minutesPlayed,touches,aerialLost,totalClearance,totalTackle,totalCross,outfielderBlock,totalContest,wonContest,shotOffTarget,interceptionWon,score_total
Paulinho,Atlético Mineiro,100.0,"R$ 108.630.000,00",1.2,0.6054444444444445,2.2857142857142856,1.0,0.12043885555555556,0.16666666666666666,1.5,30.333333333333332,7.455555555555555,0.0,1.0,4.444444444444445,1.5,1.0,1.6666666666666667,1.3333333333333333,175.0,24.0,8.88888888888889,1.6,1.6,4.0,1.5,1.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,
Pedro,Flamengo,98.1983458517854,"R$ 146.970.000,00",1.25,0.8926000000000001,2.25,1.0,0.10897404000000002,0.6666666666666666,1.75,10.666666666666666,7.566666666666666,0.0,1.25,3.3333333333333335,1.3333333333333333,0.0,1.6666666666666667,1.0,186.0,27.0,10.666666666666666,3.25,1.0,4.5,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Carlos Palacios,Colo Colo,80.55072776091784,"R$ 15.975.000,00",1.0,0.41905,1.8,1.0,0.158154711,0.16666666666666666,1.625,32.6,7.08,0.0,1.7142857142857142,4.0,1.3333333333333333,1.5,1.5714285714285714,2.6666666666666665,180.0,24.0,15.7,1.3,1.0,4.8,1.6,1.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,
Júnior Santos,Botafogo,76.16714475747281,"R$ 25.560.000,00",1.0,0.32609999999999995,3.0,1.0,0.21439372166666668,0.5,1.4,15.833333333333334,6.95,0.0,2.4,6.833333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,188.0,30.0,14.0,1.6,1.0,7.833333333333333,1.8,1.0,1.75,,,,,,,,,,,,,,,,,,,,,,
Miguel Borja,River Plate,75.41192610946098,"R$ 28.755.000,00",1.5,0.5639444444444445,1.8888888888888888,1.0,0.03183235555555555,0.3333333333333333,1.4285714285714286,11.444444444444445,7.422222222222222,0.0,1.5,4.555555555555555,2.25,0.0,1.3333333333333333,1.0,183.0,31.0,10.88888888888889,1.5714285714285714,1.3333333333333333,5.777777777777778,1.5714285714285714,1.0,2.2,,,,,,,,,,,,,,,,,,,,,,
Matheus Pereira,Cruzeiro,73.35475273873747,"R$ 54.315.000,00",1.0,0.0,1.25,1.0,0.0,0.3333333333333333,2.5,35.125,7.5625,0.0,1.875,4.625,1.6666666666666667,1.8333333333333333,2.3333333333333335,1.5,175.0,28.0,14.625,1.0,1.0,3.0,1.6666666666666667,1.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,
Facundo Colidio,River Plate,73.32875873047715,"R$ 31.950.000,00",1.0,0.34382857142857143,1.2,1.0,0.12851712857142858,0.2,3.0,11.444444444444445,7.111111111111111,0.0,3.0,5.428571428571429,2.6,0.0,1.0,1.0,179.0,24.0,9.555555555555555,3.3333333333333335,0.0,6.111111111111111,1.8571428571428572,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Maximiliano Salas,Racing Club,70.67665109075209,"R$ 15.975.000,00",1.0,0.0,2.0,2.0,0.0,0.16666666666666666,1.75,10.625,7.25,1.0,2.375,5.5,2.25,1.0,1.0,1.4,173.0,26.0,9.75,2.0,1.5,5.75,1.6666666666666667,1.1666666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,
Adrián Martínez,Racing Club,70.36724009989413,"R$ 22.365.000,00",1.125,0.0,1.8,1.0,0.0,0.375,2.0,12.0,7.76,1.0,1.375,3.1,1.3333333333333333,0.0,1.25,1.6666666666666667,181.0,32.0,9.2,1.6,1.0,6.3,2.25,1.6666666666666667,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,
Bruno Sávio,Bolívar,69.7947078712256,"R$ 4.153.500,00",1.0,0.42118,1.6,1.0,0.1489160214285714,0.4,2.25,22.0,7.471428571428571,0.0,2.0,5.714285714285714,1.0,1.3333333333333333,2.2,1.0,184.0,30.0,17.142857142857142,1.8333333333333333,1.5,7.857142857142857,2.2,1.6666666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,
