name,height,age,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goals,minutesPlayed,rating,touches,possessionLostCtrl,expectedGoals,expectedAssists,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,totalCross,accurateCross,outfielderBlock,goodHighClaim,savedShotsFromInsideTheBox,saves,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,penaltyWon,totalOffside,goalsPrevented,penaltyConceded,cbf_ranking_2024
Adriano Martins,193.0,27.0,40.2,33.8,7.5,4.428571428571429,0.0,0.0,2663.0,6.993333333333334,52.63333333333333,7.533333333333333,0.09421,0.0177929647058823,1.8333333333333333,1.9259259259259256,3.0,3.857142857142857,1.2,4.4,1.947368421052632,1.2,1.875,1.0,1.0,1.4210526315789471,0.0,0.0,0.0,1.1428571428571428,1.25,1.125,1.0,1.3333333333333333,2.0384615384615383,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,17
Adson,171.0,24.0,29.375,25.58333333333333,1.5,1.3,0.0555555555555555,1.0,1526.0,7.016666666666667,41.91666666666666,8.291666666666666,0.1174153846153846,0.1792455322222222,1.2307692307692308,1.25,3.863636363636364,4.090909090909091,1.4285714285714286,1.0,2.076923076923077,1.6666666666666667,1.4285714285714286,1.588235294117647,1.2,1.0,0.0,0.0,0.0,1.1538461538461535,3.0,2.2,1.0,1.5555555555555556,1.125,2.0,1.4166666666666667,1.0,1.0,0.0,0.0,0.0,0.0,15
Agustín Canobbio,175.0,26.0,22.5,18.65,1.5,1.1666666666666667,0.0588235294117647,1.0,1417.0,7.095000000000001,40.25,10.35,0.2371230769230769,0.1188724292307692,1.1111111111111112,1.1428571428571428,5.166666666666667,5.315789473684211,1.8888888888888888,1.125,2.375,3.1818181818181817,1.5,2.533333333333333,1.3333333333333333,1.0,0.0,0.0,0.0,1.9230769230769231,2.857142857142857,1.6666666666666667,1.6666666666666667,1.5,1.2,2.1818181818181817,1.6875,1.5,1.0,0.0,1.25,0.0,0.0,6
Airton,178.0,25.0,14.9,10.85,1.6,1.1666666666666667,0.1176470588235294,1.0,1379.0,6.93,28.05,9.65,0.0,0.0,1.8333333333333333,1.4166666666666667,4.7,3.8,1.2727272727272727,1.0,1.5,1.6666666666666667,1.3846153846153846,2.555555555555556,1.8571428571428568,0.0,0.0,0.0,0.0,1.4444444444444444,2.055555555555556,1.6,1.0,1.7777777777777777,1.0,1.6,1.4666666666666666,1.3333333333333333,1.0,1.0,1.1666666666666667,0.0,0.0,38
Alan Empereur,186.0,30.0,51.52,43.76,10.6,5.666666666666667,0.0,0.0,2146.0,6.936,61.2,9.04,0.0548222222222222,0.0258436204761904,2.111111111111111,2.1052631578947367,2.952380952380953,3.5,1.0,3.909090909090909,1.7,1.4444444444444444,1.25,1.25,1.0,1.125,0.0,0.0,0.0,1.125,1.0,1.0,0.0,1.0,1.75,1.4545454545454546,1.0,1.2,1.0,0.0,0.0,0.0,0.0,20
Alan Franco,174.0,26.0,33.26923076923077,28.46153846153846,1.826086956521739,1.25,0.0,0.0,1969.0,6.861538461538462,41.92307692307692,6.538461538461538,0.1002,0.1101813968749999,1.5833333333333333,1.5555555555555556,3.1666666666666665,3.44,1.0,1.6363636363636365,2.294117647058824,1.3846153846153846,1.809523809523809,1.0909090909090908,1.0,1.0,0.0,0.0,0.0,1.1428571428571428,1.5,1.0,1.0,1.125,1.2777777777777777,1.1428571428571428,1.2857142857142858,1.25,1.0,1.0,0.0,0.0,0.0,5
Alan Franco,183.0,28.0,55.95454545454545,50.63636363636363,6.0,3.65,0.05,0.0,1851.0,6.873913043478261,62.130434782608695,6.318181818181818,0.1554333333333333,0.0135538777777777,2.1666666666666665,2.8125,3.5,4.095238095238095,0.0,3.333333333333333,1.7142857142857142,1.25,1.5714285714285714,1.0,0.0,1.3,0.0,0.0,0.0,1.3,1.5555555555555556,1.5,1.0,1.0,1.5555555555555556,1.0,1.0,1.25,0.0,0.0,1.0,0.0,0.0,2
Alan Ruschel,175.0,35.0,34.07407407407408,28.55555555555556,3.3461538461538463,2.380952380952381,0.0769230769230769,1.0,2306.0,6.885185185185185,59.25925925925926,12.62962962962963,0.0808222222222222,0.0754047289999999,1.375,1.625,4.444444444444445,5.407407407407407,1.0,2.227272727272727,2.6923076923076925,2.15,1.7,3.04,1.6666666666666667,1.3,0.0,0.0,0.0,2.0588235294117645,1.4705882352941178,1.2857142857142858,0.0,1.0,1.894736842105263,1.411764705882353,1.2142857142857142,1.0,1.0,0.0,1.0,0.0,1.0,18
Alejo Cruz,169.0,24.0,21.103448275862068,16.689655172413794,2.647058823529412,1.9230769230769231,0.0384615384615384,1.0,1642.0,6.966666666666667,35.06666666666667,10.827586206896552,0.16185,0.122779956,2.0,1.4545454545454546,3.9130434782608696,3.52,1.0,1.75,1.7058823529411764,1.9230769230769231,1.3636363636363635,5.555555555555555,1.9565217391304348,1.0,0.0,0.0,0.0,1.8571428571428568,2.117647058823529,1.5833333333333333,1.0,1.5,1.2857142857142858,2.260869565217391,1.875,1.0,1.25,0.0,1.0,0.0,0.0,17
Alerrandro,176.0,24.0,12.928571428571429,9.357142857142858,1.1666666666666667,1.1666666666666667,0.2083333333333333,1.1666666666666667,1801.0,7.0,22.178571428571427,6.615384615384615,0.304455,0.0479973945,2.909090909090909,2.0625,4.607142857142857,3.692307692307693,1.2666666666666666,1.3636363636363635,1.2142857142857142,2.2222222222222223,1.4375,1.25,0.0,1.0,0.0,0.0,0.0,1.181818181818182,1.0714285714285714,1.1666666666666667,1.0,1.2307692307692308,1.3333333333333333,1.2222222222222223,1.5714285714285714,1.2727272727272727,1.0,0.0,1.0,0.0,1.0,23
Alesson,173.0,25.0,21.37037037037037,15.74074074074074,2.4285714285714284,1.875,0.2,1.1666666666666667,2414.0,7.062962962962962,41.333333333333336,14.25925925925926,0.0,0.0,2.0869565217391304,1.25,7.555555555555555,5.4,1.8571428571428568,1.4,2.473684210526316,2.090909090909091,1.681818181818182,2.3076923076923075,1.1538461538461535,0.0,0.0,0.0,0.0,1.2857142857142858,3.3043478260869565,1.8,1.5,1.3076923076923077,1.2222222222222223,1.9565217391304348,2.2,1.125,1.6,0.0,1.6666666666666667,0.0,0.0,29
Alexander Barboza,193.0,29.0,43.47619047619048,35.23809523809524,6.684210526315789,2.647058823529412,0.0,0.0,1583.0,6.9,54.142857142857146,9.9,0.03476,0.0435029588888888,1.8571428571428568,3.294117647058824,3.526315789473684,4.578947368421052,1.0,4.833333333333333,1.75,1.3333333333333333,2.0625,0.0,0.0,1.6363636363636365,0.0,0.0,0.0,1.4,1.1666666666666667,1.2,0.0,1.1666666666666667,1.818181818181818,1.25,1.6666666666666667,1.0,1.0,0.0,1.0,0.0,1.0,8
Alexis Alvarino,184.0,23.0,48.04166666666666,38.458333333333336,11.956521739130435,5.318181818181818,0.0,1.0,2049.0,6.8625,55.583333333333336,10.5,0.0,0.0,2.4166666666666665,1.8666666666666667,2.571428571428572,2.421052631578948,1.0,3.45,1.5,1.0,1.0714285714285714,1.0,0.0,1.375,0.0,0.0,0.0,1.0,1.2,1.3333333333333333,0.0,1.0,1.2857142857142858,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,49
